"InChI Key","SMILES","Solubility"
"SECKRCOLJRRGGV-UHFFFAOYSA-N","CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C","0.607317052609211"
"OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","0.646179544213372"
"VVIAGPKUTFNRDU-ABLWVSNPSA-N","C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","0.5677028977622184"
"OTBXOEAOVRKTNQ-UHFFFAOYSA-N","C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3","0.6237759646541984"
"KSEYRUGYKHXGFW-UHFFFAOYSA-N","COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2","0.6551092630908796"
"ATALOFNDEOCMKK-OITMNORJSA-N","CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F","0.478082690087797"
"KGSXMPPBFPAXLY-UHFFFAOYSA-N","CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)O","0.39548920560715767"
"CPMDPSXJELVGJG-UHFFFAOYSA-N","CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O","0.4399764421559454"
"SVOQIEJWJCQGDQ-UHFFFAOYSA-N","CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C","0.38449419070881385"
"JBKPUQTUERUYQE-UHFFFAOYSA-O","C[N+]1=CC=CC=C1C=NO","0.589495971395977"
"JQXXHWHPUNPDRT-UHFFFAOYSA-N","CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C","0.31603082429413404"
"JQXXHWHPUNPDRT-KCFDLMDRSA-N","CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C","0.31603082429413404"
"KSGXQBZTULBEEQ-UHFFFAOYSA-N","CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4","0.7256614148256313"
"ZGXJTSGNIOSYLO-UHFFFAOYSA-N","C(CC(=O)O)C(=O)CN","0.4757813017770818"
"OETHQSJEHLVLGH-UHFFFAOYSA-N","CN(C)C(=N)N=C(N)N.Cl","0.6194968417363274"
"WSEQXVZVJXJVFP-FQEVSTJZSA-N","CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F","0.5038563003031538"
"OGSBUKJUDHAQEA-WMCAAGNKSA-N","C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","0.6377057996840102"
"ZDZOTLJHXYCWBA-VCVYQWHSSA-N","CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O","0.4549291098715203"
"CBPNZQVSJQDFBE-UHFFFAOYSA-N","CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC","0.4017555216652728"
"AXRYRYVKAWYZBR-GASGPIRDSA-N","CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC","0.38077947419931263"
"CPZBLNMUGSZIPR-DOTOQJQBSA-N","C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5","0.651574878847222"
"GSDSWSVVBLHKDQ-JTQLQIEISA-N","CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O","0.5342304222117814"
"MYPYJXKWCTUITO-LYRMYLQWSA-N","CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O","0.6120201500483673"
"OLNTVTPDXPETLC-XPWALMASSA-N","C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O","0.43272743536357466"
"JUZNIMUFDBIJCM-ANEDZVCMSA-N","CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O","0.6251301906712138"
"RJFAYQIBOAGBLC-UHFFFAOYSA-N","C[Se]CCC(C(=O)O)N","0.31603082429413404"
"IKENVDNFQMCRTR-UHFFFAOYSA-N","CC1=NC2=C(N1)CCN(C3=CC=CC=C32)C(=O)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5C6=CC=CC=C6","0.3466137691163925"
"OZBDFBJXRJWNAV-UHFFFAOYSA-N","CC(C12CC3CC(C1)CC(C3)C2)N.Cl","0.5061118216869174"
"POPFMWWJOGLOIF-XWCQMRHXSA-N","CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C","0.5377448404923513"
"FABPRXSRWADJSP-MEDUHNTESA-N","COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O","0.5960549248139947"
"KXNPVXPOPUZYGB-XYVMCAHJSA-N","CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C","0.6110398565645784"
"MLKXDPUZXIRXEP-MFOYZWKCSA-N","CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O","0.6107133715606229"
"GKIRPKYJQBWNGO-OCEACIFDSA-N","CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3","0.3381894504372085"
"FJLGEFLZQAZZCD-JUFISIKESA-N","CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F","0.39712442231124334"
"DOMXUEMWDBAQBQ-WEVVVXLNSA-N","CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21","0.6117735318710174"
"CNNVSINJDJNHQK-UHFFFAOYSA-N","CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3.Cl","0.5222118186206113"
"CMWTZPSULFXXJA-VIFPVBQESA-N","CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O","0.6113412606176903"
"VDHAWDNDOKGFTD-MRXNPFEDSA-N","CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F","0.1584100905387025"
"VTRAEEWXHOVJFV-UHFFFAOYSA-N","CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O","0.4445332384443096"
"AUODDLQVRAJAJM-XJQDNNTCSA-N","CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl.Cl","0.5030059768191104"
"XRWSZZJLZRKHHD-WVWIJVSJSA-N","CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC2(CC2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C","0.5298224761697972"
"CYQFCXCEBYINGO-IAGOWNOFSA-N","CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O","0.36887639128776345"
"JVLBPIPGETUEET-WIXLDOGYSA-O","C[N+]1(CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6","0.7814945496378815"
"PURKAOJPTOLRMP-UHFFFAOYSA-N","CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C","0.35391124588655537"
"ACHKKGDWZVCSNH-UHFFFAOYSA-N","C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl","0.6935389344962606"
"XSDQTOBWRPYKKA-UHFFFAOYSA-N","C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N","0.635920891318989"
"VSWBSWWIRNCQIJ-HUUCEWRRSA-N","CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24","0.3149267484326731"
"YVUQSNJEYSNKRX-UHFFFAOYSA-N","C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F","0.34598560247184473"
"VNJHUUNVDMYCRH-UHFFFAOYSA-N","CS(=O)(=O)O.C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O","0.5385892333719555"
"JHVAMHSQVVQIOT-MFAJLEFUSA-N","CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O","0.5364048459545424"
"GNBHRKFJIUUOQI-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O","0.6202572041674859"
"ZDIGNSYAACHWNL-HNNXBMFYSA-N","CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2","0.4549291098715203"
"PJSFRIWCGOHTNF-UHFFFAOYSA-N","COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N","0.6270083788274806"
"YBJHBAHKTGYVGT-ZKWXMUAHSA-N","C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2","0.5127730875888052"
"NUKYPUAOHBNCPY-UHFFFAOYSA-N","C1=CN=CC=C1N","0.8541742134426742"
"SWKDMSRRIBZZAY-UHFFFAOYSA-N","C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.Cl","0.524427658477802"
"CFKMVGJGLGKFKI-UHFFFAOYSA-N","CC1=C(C=CC(=C1)O)Cl","0.6688737768724259"
"RKUNBYITZUJHSG-PJPHBNEVSA-N","CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3","0.5220860420486871"
"ZKMNUMMKYBVTFN-HNNXBMFYSA-N","CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C","0.6184299864731448"
"AAKJLRGGTJKAMG-UHFFFAOYSA-N","COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC","0.4355596699521659"
"CXOFVDLJLONNDW-UHFFFAOYSA-N","C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3","0.6179148871184592"
"KASDHRXLYQOAKZ-KDCWXYOMSA-N","CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C","0.33891330070660247"
"QIALRBLEEWJACW-INIZCTEOSA-N","CC(=O)OC1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N","0.6935389344962606"
"NYVVVBWEVRSKIU-UHFFFAOYSA-N","CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C.C(C(C(=O)O)O)(C(=O)O)O","0.8572553928227241"
"METKIMKYRPQLGS-GFCCVEGCSA-N","CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O","0.5176277042130188"
"LDDHMLJTFXJGPI-UHFFFAOYSA-N","CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl","0.500801832902211"
